"";"x"
"185";"Petasites albus"
"186";"Petasites paradoxus"
"187";"Phleum pratense s.str."
"188";"Phyteuma orbiculare s.str."
"189";"Phyteuma spicatum ssp. spicatum"
"190";"Picea abies"
"191";"Pimpinella major var. major"
"192";"Pimpinella saxifraga ssp. saxifraga"
"193";"Pinguicula alpina"
"194";"Pinus mugo s.str."
"195";"Pinus sylvestris"
"196";"Plantago lanceolata"
"197";"Plantago major s.lat."
"198";"Plantago media"
"199";"Poa alpina"
"200";"Poa angustifolia"
"201";"Poa pratensis"
"202";"Polystichum aculeatum s.str."
"203";"Polygala alpestris ssp. alpestris"
"204";"Polygala amarella"
"205";"Polygala chamaebuxus"
"206";"Polystichum lonchitis"
"207";"Polygonatum verticillatum"
"208";"Polygala vulgaris ssp. vulgaris"
"209";"Potentilla aurea"
"210";"Potentilla caulescens ssp. caulescens"
"211";"Potentilla erecta"
"212";"Potentilla heptaphylla"
"213";"Prenanthes purpurea"
"214";"Primula auricula ssp. auricula"
"215";"Primula farinosa"
"216";"Primula veris ssp. veris"
"217";"Prunella vulgaris"
"218";"Pteridium aquilinum"
"219";"Pyrola media"
"220";"Ranunculus acris ssp. acris"
"221";"Ranunculus bulbosus s.str."
"222";"Ranunculus montanus s.str."
"223";"Ranunculus nemorosus"
"224";"Ranunculus repens"
"225";"Rhinanthus glacialis"
"226";"Rhinanthus minor"
"227";"Rhodothamnus chamaecistus"
"228";"Rhododendron hirsutum"
"229";"Rosa corymbifera"
"230";"Rosa pendulina"
"231";"Rubus idaeus"
"232";"Rubus saxatilis"
"233";"Rubus sect. Rubus"
"234";"Rumex acetosella ssp. acetosella"
"235";"Rumex acetosa"
"236";"Salix caprea"
"237";"Salix eleagnos ssp. eleagnos"
"238";"Salix glabra"
"239";"Sanguisorba minor ssp. minor"
"240";"Sanicula europaea"
"241";"Saxifraga caesia"
"242";"Scabiosa lucida ssp. lucida"
"243";"Scorzoneroides autumnalis"
"244";"Selaginella selaginoides"
"245";"Seseli libanotis ssp. libanotis"
"246";"Sesleria caerulea s.str."
"247";"Silene nutans ssp. nutans"
"248";"Silene vulgaris ssp. vulgaris"
"249";"Solidago virgaurea ssp. virgaurea"
"250";"Sorbus aria s.str."
