plot;variable;value;comment
si01;cov;80;
si01;hcov;60;
si01;mcov;35;
si01;hhl1;0,5;
si01;hhl2;0,1;
si01;rock;1;
si01;bare;4;
si01;stones;0;
si01;exp;SE;
si01;slope;35;
si01;plsx;4;
si01;plsy;4;
si01;location;Siltal;
si01;date;2011-05-26;
si01;geology;Grünschiefer;
si01;longitude;12.524864E;
si01;latitude;47.024807N;
si01;accuracy;10;
si01;observer;R. Kaiser;
