plot;variable;value
ps01;cov;80
ps01;tcov;0
ps01;scov;0
ps01;hcov;80
ps01;mcov;3
ps01;rock;0
ps01;bare;0
ps01;debris;0
ps01;htl;0
ps01;hsl;0
ps01;hhl1;0
ps01;hhl2;0
ps01;expo;W
ps01;slope;80
ps01;plsx;3
ps01;plsy;1
ps01;date;11.05.2009
ps01;longitude;16.049450E
ps01;latitude;48.014970N
ps01;altitude;668
ps01;location;Peilstein
ps02;cov;70
ps02;tcov;0
ps02;scov;1
ps02;hcov;70
ps02;mcov;3
ps02;rock;0
ps02;bare;0
ps02;debris;0
ps02;htl;0
ps02;hsl;0
ps02;hhl1;0
ps02;hhl2;0
ps02;expo;W
ps02;slope;75
ps02;plsx;4
ps02;plsy;4
ps02;date;11.05.2009
ps02;longitude;16.048670E
ps02;latitude;48.014780N
ps02;altitude;674
ps02;location;Peilstein
ps01;accuracy;10
ps02;accuracy;10
ps01;observer;T. Eberl & R. Kaiser
ps02;observer;T. Eberl & R. Kaiser
