taxon,matched.taxon
Verbascum.thapsiforme,Verbascum thapsus s.str.
Kernera.saxatilis,Kernera saxatilis
Heracleum.sphondylium.ssp..elegans,Heracleum sphondylium ssp. elegans
Epilobium.alpestre,Epilobium alpestre
Hypericum.maculatum,Hypericum maculatum s.str.
Kernera.saxatilis,Kernera saxatilis
Valeriana.saxatilis,Valeriana saxatilis
Scrophularia.nodosa,Scrophularia nodosa
Helianthemum.grandiflorum,Helianthemum nummularium ssp. grandiflorum
Hieracium.valdepilosum,Hieracium valdepilosum
Hieracium.schultesii,Hieracium schultesii
Hieracium.schultesii,Hieracium schultesii
Valeriana.collina,Valeriana officinalis ssp. tenuifolia
Carex.mucronata,Carex mucronata
Hypericum.maculatum,Hypericum maculatum s.str.
Chrysanthemum.leucanthemum,Leucanthemum vulgare s.str.
Juncus.monanthos,Juncus monanthos
Potentilla.erecta,Potentilla erecta
Achillea.clavenae,Achillea clavennae
Linum.catharticum,Linum catharticum
Lamium.maculatum,Lamium maculatum
Sedum.atratum,Sedum atratum s.lat.
Senecio.nemorensis.ssp..fuchsii,Senecio ovatus ssp. ovatus
