plot,location,latitude,longitude,accuracy,observer,date,remarks
83,An der Abzweigung von altem und neuem Röthsteig,47.505501,13.012749,250,W. Lippert,1966-01-01,date is year of publication
84,An der Abzweigung von altem und neuem Röthsteig,47.505501,13.012749,250,W. Lippert,1966-01-01,date is year of publication
85,Am neuen Röthsteig,47.505826,13.013973,100,W. Lippert,1966-01-01,date is year of publication
86,Am neuen Röthsteig,47.505826,13.013973,100,W. Lippert,1966-01-01,date is year of publication
88,Am neuen Röthsteig bei der Abzweigung zum Landtal-Gotzenalm,47.504907,13.014995,50,W. Lippert,1966-01-01,date is year of publication
90,Am Weg zur Wasseralm,47.508472,13.019081,1000,W. Lippert,1966-01-01,date is year of publication
