year,plot,abbr,layer,freq,flower,comment,history
2012,htl-z6,meli cili,hl,10,4,,
2012,htl-z6,orig vulg,hl,17,11,,
2012,htl-z6,sedu albu,hl,6,999,,
2012,htl-z7,clin acin,hl,3,2,,
2012,htl-z7,aspe cyna,hl,10,11,,
2012,htl-z7,glob cord,hl,5,2,,
2012,htl-z7,heli numm glab,hl,10,12,,
2012,htl-z7,jovi glob hirt,hl,1,0,,
2012,htl-z7,lina geni,hl,17,7,,
2012,htl-z7,meli cili,hl,8,9,,
2012,htl-z7,pelt alli,hl,1,0,,
2012,htl-z7,sedu albu,hl,7,999,,
2012,htl-z7,teuc cham,hl,11,8,,
2012,htl-z7,vinc hiru,hl,13,11,,
2012,htl-z7,medi lupu,hl,7,4,,
2012,htl-z8,acon anth,hl,3,1,,
2012,htl-z8,ajug gene,hl,7,1,,
2012,htl-z8,anth ramo,hl,9,1,,
2012,htl-z8,aren serp,hl,2,999,,
2012,htl-z8,heli numm obsc,hl,7,14,,
2012,htl-z8,meli cili,hl,1,0,margin,
2012,htl-z8,pelt alli,hl,1,1,,
2012,htl-z8,sedu albu,hl,7,999,,
2012,htl-z8,teuc cham,hl,15,16,,
2012,htl-z8,teuc mont,hl,4,17,,
2012,htl-z8,vinc hiru,hl,7,5,,
2012,htl-z8,arte vulg,hl,1,0,,
2012,htl-z8,viol tric saxa,hl,1,0,,
2012,htl-k5,card nuta nuta,hl,1,0,,
2012,htl-k5,jovi glob hirt,hl,1,0,,
2012,htl-k6,anth ramo,hl,2,0,,
2012,htl-k6,card nuta nuta,hl,1,0,,
2012,htl-k6,erys sylv,hl,2,0,,
2012,htl-k6,jovi glob hirt,hl,3,0,,
2012,htl-k6,salv glut,hl,9,0,,
2012,htl-k6,secu vari,hl,1,0,,
2012,htl-k6,sedu albu,hl,2,0,,
2012,htl-k6,teuc cham,hl,17,17,,
2012,htl-k6,vinc hiru,hl,23,20,,
2012,htl-k7,anth ramo,hl,1,0,,
2012,htl-k7,erys sylv,hl,2,0,,
2012,htl-k7,jovi glob hirt,hl,12,0,,
2012,htl-k7,orig vulg,hl,3,3,,
2012,htl-k7,pelt alli,hl,1,0,,
2012,htl-k7,pote pusi,hl,2,0,,
2012,htl-k7,sedu albu,hl,17,999,,
2012,htl-k7,teuc mont,hl,5,9,,
2012,htl-k8,ajug gene,hl,4,0,,
2012,htl-k8,aspe cyna,hl,1,0,,
2012,htl-k8,erys sylv,hl,7,2,,
2012,htl-k8,heli numm glab,hl,2,0,,
2012,htl-k8,jovi glob hirt,hl,21,0,,
2012,htl-k8,orig vulg,hl,10,3,,
2012,htl-k8,pote pusi,hl,3,0,,
2012,htl-k8,sedu albu,hl,6,0,,
2012,htl-k8,teuc cham,hl,10,10,,
2012,htl-k8,teuc mont,hl,2,1,,
2012,htl-k8,vinc hiru,hl,20,15,,
2012,htl-k8,anth vuln slat,hl,1,0,,
2012,htl-k8,pinu nigr nigr,hl,1,0,,
2012,htl-k1,clin acin,hl,3,1,,
2012,htl-k1,ajug gene,hl,8,0,,
2012,htl-k1,erys sylv,hl,8,2,,
2012,htl-k1,heli numm glab,hl,1,0,,
2012,htl-k1,jovi glob hirt,hl,6,999,,
2012,htl-k1,meli cili,hl,2,0,,
2012,htl-k1,sang mino mino,hl,3,0,,
2012,htl-k1,sedu albu,hl,15,999,,
2012,htl-k1,tara sect rude,hl,1,0,,
2012,htl-k1,teuc cham,hl,16,20,,
2012,htl-k1,teuc mont,hl,3,15,,
2012,htl-k1,viol coll,hl,2,0,,
2012,htl-k2,alli lusi,hl,2,0,,
2012,htl-k2,erys sylv,hl,1,1,,
2012,htl-k2,jovi glob hirt,hl,4,0,,
2012,htl-k2,rese lute,hl,2,0,,
2012,htl-k2,sedu albu,hl,7,0,,
2012,htl-k2,teuc cham,hl,2,0,,
2012,htl-k3,anth ramo,hl,2,0,,
2012,htl-k3,jovi glob hirt,hl,8,0,,
2012,htl-k3,rese lute,hl,2,1,,
2012,htl-k3,sedu albu,hl,3,999,,
2012,htl-k4,anth ramo,hl,1,0,,
2012,htl-k4,jovi glob hirt,hl,3,0,,
2012,htl-k4,orig vulg,hl,1,0,,
2012,htl-k4,sedu albu,hl,1,0,,
2012,htl-k4,teuc cham,hl,2,0,,
2012,htl-k4,fuma schl,hl,1,0,,
2012,htl-z1,clin acin,hl,5,5,,
2012,htl-z1,ajug gene,hl,4,0,,
2012,htl-z1,anth ramo,hl,6,2,,
2012,htl-z1,heli numm obsc,hl,1,1,,
2012,htl-z1,jovi glob hirt,hl,15,0,,
2012,htl-z1,meli cili,hl,23,34,,
2012,htl-z1,pote pusi,hl,1,0,,
2012,htl-z1,sedu albu,hl,24,999,,
2012,htl-z2,clin acin,hl,1,1,,
2012,htl-z2,anch offi,hl,4,0,,
2012,htl-z2,erys sylv,hl,1,0,,
2012,htl-z2,jovi glob hirt,hl,11,0,,
2012,htl-z2,meli cili,hl,10,2,,
2012,htl-z2,sedu albu,hl,22,999,,
2012,htl-z2,sese aust,hl,25,16,,
2012,htl-z3,brac sylv,hl,4,0,,
2012,htl-z3,frax exce,hl,1,0,,
2012,htl-z3,heli numm glab,hl,10,14,,
2012,htl-z3,hype perf,hl,7,2,,
2012,htl-z3,jovi glob hirt,hl,2,0,,
2012,htl-z3,pelt alli,hl,3,1,,
2012,htl-z3,poa comp,hl,22,60,,
2012,htl-z3,sedu albu,hl,8,999,,
2012,htl-z3,tara sect rude,hl,2,0,,
2012,htl-z3,teuc mont,hl,3,7,,
2012,htl-z4,clin acin,hl,3,1,,
2012,htl-z4,acon anth,hl,6,3,,
2012,htl-z4,ajug gene,hl,2,0,,
2012,htl-z4,anth ramo,hl,10,3,,
2012,htl-z4,aren serp,hl,3,999,,
2012,htl-z4,aspe cyna,hl,5,3,,
2012,htl-z4,heli numm obsc,hl,22,24,,
2012,htl-z4,hype perf,hl,10,5,,
2012,htl-z4,jovi glob hirt,hl,3,1,,
2012,htl-z4,meli cili,hl,23,19,,
2012,htl-z4,orig vulg,hl,8,4,,
2012,htl-z4,pelt alli,hl,1,0,,
2012,htl-z4,poa comp,hl,5,7,,
2012,htl-z4,sedu albu,hl,1,0,,
2012,htl-z4,teuc cham,hl,12,13,,
2012,htl-z4,teuc mont,hl,5,14,,
2012,htl-z4,vinc hiru,hl,3,1,,
2012,krr-k1,alli lusi,hl,1,1,,
2012,krr-k1,anch offi,hl,1,0,,
2012,krr-k1,gali luci,hl,2,0,,
2012,krr-k1,jovi glob hirt,hl,15,0,,
2012,krr-k1,sedu albu,hl,15,0,,
2012,krr-k2,clin acin,hl,2,0,,
2012,krr-k2,ajug gene,hl,9,0,,
2012,krr-k2,alli lusi,hl,1,0,,
2012,krr-k2,card nuta nuta,hl,2,0,,
2012,krr-k2,meli cili,hl,1,0,,
2012,krr-k2,prun maha,hl,4,0,,
2012,krr-k2,sedu albu,hl,2,999,,
2012,krr-k2,sile lati alba,hl,1,0,,
2012,krr-k2,teuc mont,hl,3,11,,
2012,krr-k3,alli lusi,hl,3,0,,
2012,krr-k3,aren serp,hl,1,999,,
2012,krr-k3,cent scab bade,hl,2,0,,
2012,krr-k3,echi vulg,hl,1,0,,
2012,krr-k3,erys sylv,hl,1,0,,
2012,krr-k3,gali luci,hl,2,0,,
2012,krr-k3,leon inca,hl,1,0,,
2012,krr-k3,meli cili,hl,1,0,,
2012,krr-k3,sedu albu,hl,14,999,,
2012,krr-k3,teuc mont,hl,3,6,,
2012,krr-k3,anch offi,hl,1,0,,
2012,krr-k4,alli lusi,hl,2,0,,
2012,krr-k4,aren serp,hl,2,999,,
2012,krr-k4,cent scab bade,hl,10,0,,
2012,krr-k4,gali luci,hl,3,0,,
2012,krr-k4,jovi glob hirt,hl,11,1,,
2012,krr-k4,meli cili,hl,3,0,,
2012,krr-k4,sang mino mino,hl,7,3,,
2012,krr-k4,sedu albu,hl,8,999,,
2012,krr-k4,teuc botr,hl,11,1,,
2012,krr-k4,vinc hiru,hl,11,10,,
2012,krr-k4,medi lupu,hl,2,0,,
2012,krr-z5,alli lusi,hl,3,0,,
2012,krr-z5,care humi,hl,8,999,,
2012,krr-z5,jovi glob hirt,hl,24,0,,
2012,krr-z5,lact vimi,hl,1,0,,
2012,krr-z5,scab ochr,hl,11,3,,
2012,krr-z5,sedu albu,hl,19,0,,
2012,krr-z5,sese aust,hl,15,12,,
2012,krr-z6,bupl falc falc,hl,1,0,,
2012,krr-z6,card defl glau,hl,2,0,,
2012,krr-z6,care humi,hl,9,999,,
2012,krr-z6,gali luci,hl,8,9,,
2012,krr-z6,jovi glob hirt,hl,23,0,,
2012,krr-z6,leon inca,hl,16,11,,
2012,krr-z6,scab ochr,hl,3,0,,
2012,krr-z6,sedu albu,hl,17,999,,
2012,krr-z6,teuc mont,hl,3,13,,
2012,krr-z7,bupl falc falc,hl,6,3,,
2012,krr-z7,gali luci,hl,21,27,,
2012,krr-z7,jovi glob hirt,hl,13,0,,
2012,krr-z7,leon inca,hl,9,5,,
2012,krr-z7,sedu albu,hl,13,999,,
2012,krr-z8,gali luci,hl,24,36,,
2012,krr-z8,jovi glob hirt,hl,12,0,,
2012,krr-z8,leon inca,hl,2,1,,
2012,krr-z8,meli cili,hl,2,0,,
2012,krr-z8,sang mino mino,hl,2,2,,
2012,krr-z8,secu vari,hl,17,12,,
2012,krr-z8,sedu albu,hl,5,0,,
